source_id,citation_key,title,authors,year,venue,doi,document_type,evidence_role,system_domain,system_type,system_relevance,main_topic,learning_method,physics_or_domain_model_element,operational_relevance,validation_type,evidence_note
W001,10025395,Safe and Stable Secondary Voltage Control of Microgrids Based on Explicit Neural Networks,"Ma, Zixiao and Zhang, Qianzhi and Wang, Zhaoyu",2023,IEEE Transactions on Smart Grid,10.1109/tsg.2023.3239548,Journal article,Primary evaluation,Microgrid,Islanded microgrid,Yes,voltage control,machine learning,power-flow equations; converter/inverter dynamics; voltage/frequency limits,voltage control,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W002,10040615,Safe Deep Reinforcement Learning for Microgrid Energy Management in Distribution Networks With Leveraged Spatial-Temporal Perception,"Ye, Yujian and Wang, Hongru and Chen, Peiling and Tang, Yi and Strbac, Goran",2023,IEEE Transactions on Smart Grid,10.1109/tsg.2023.3243170,Journal article,Primary evaluation,Microgrid,Distribution network,Yes,energy management,safe reinforcement learning,DAE/ODE dynamics,energy management,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W003,10050868,A Review of Microgrid Energy Management and Control Strategies,"Ahmad, Saad and Shafiullah, Md and Ahmed, Chokri Belhaj and Alowaifeer, Maad",2023,IEEE Access,10.1109/access.2023.3248511,Review article,Review/contextual synthesis,Microgrid,Power grid,Yes,energy management,NR,NR,energy management,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W004,10121806,Safety-Constrained Stagewise Optimization of Droop Control Parameters for Isolated Microgrids,"Liu, Yitong and Li, Zhengshuo and Zhao, Junbo",2024,IEEE Transactions on Smart Grid,10.1109/tsg.2023.3274589,Journal article,Contextual method/background,Microgrid,NR,Yes,modeling and system identification,NR,converter/inverter dynamics; voltage/frequency limits,modeling and system identification,NR,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W005,10124785,Decentralized Secondary Frequency Control of Autonomous Microgrids via Adaptive Robust -Gain Performance,"Liu, Jiayi and Song, Huihui and Chen, Chenyue and Guerrero, Josep M. and Liu, Meng and Qu, Yanbin",2024,IEEE Transactions on Smart Grid,10.1109/tsg.2023.3274235,Journal article,Excluded non-primary study,Microgrid,Converter/device,Yes,frequency control,NR,DAE/ODE dynamics; converter/inverter dynamics; voltage/frequency limits,frequency control,NR,Learning or data-driven method is not central to the available source evidence.
W006,10128154,Inverter PQ Control With Trajectory Tracking Capability for Microgrids Based on Physics-Informed Reinforcement Learning,"She, Buxin and Li, Fangxing and Cui, Hantao and Shuai, Hang and Oboreh-Snapps, Oroghene and Bo, Rui and Praisuwanna, Nattapat and Wang, Jingxin and Tolbert, Leon M.",2024,IEEE Transactions on Smart Grid,10.1109/tsg.2023.3277330,Journal article,Primary evaluation,Microgrid,Converter/device,Yes,physics-informed/data-driven power-system method,physics-informed reinforcement learning,converter/inverter dynamics,physics-informed/data-driven power-system method,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W007,10141545,Machine Learning With Data Assimilation and Uncertainty Quantification for Dynamical Systems: A Review,"Cheng, Sibo and Quilodrán-Casas, César and Ouala, Said and Farchi, Alban and Liu, Che and Tandeo, Pierre and Fablet, Ronan and Lucor, Didier and Iooss, Bertrand and Brajard, Julien and Xiao, Dunhui and Janjic, Tijana and Ding, Weiping and Guo, Yike and Carrassi, Alberto and Bocquet, Marc and Arcucci, Rossella",2023,IEEE/CAA Journal of Automatica Sinica,10.1109/jas.2023.123537,Review article,Review/contextual synthesis,NR,NR,No,physics-informed/data-driven power-system method,machine learning,DAE/ODE dynamics,Contextual/background,Review/no primary validation,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
W008,10208158,An Improved Neural Lyapunov Method for Transient Stability Assessment of Networked Microgrids,"Liu, Yunfei and Zhang, Junran and Liu, Yan and Yang, Mengling and Chen, Song and Zhou, Lijun and Wang, Yang",2024,IEEE Transactions on Smart Grid,10.1109/tsg.2023.3301855,Journal article,Primary evaluation,Microgrid,Networked microgrid,Yes,transient stability,neural Lyapunov/certificate,DAE/ODE dynamics; Lyapunov/barrier certificate,transient stability,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W009,10233047,"Physics-Informed, Safety and Stability Certified Neural Control for Uncertain Networked Microgrids","Wang, Lizhi and Zhang, Songyuan and Zhou, Yifan and Fan, Chuchu and Zhang, Peng and Shamash, Yacov A.",2024,IEEE Transactions on Smart Grid,10.1109/tsg.2023.3309534,Journal article,Primary evaluation,Microgrid,Networked microgrid,Yes,physics-informed/data-driven power-system method,neural Lyapunov/certificate,Lyapunov/barrier certificate; converter/inverter dynamics,physics-informed/data-driven power-system method,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
W010,10238825,Probabilistic Physics-Informed Graph Convolutional Network for Active Distribution System Voltage Prediction,"Su, Tong and Zhao, Junbo and Pei, Yansong and Ding, Fei",2023,IEEE Transactions on Power Systems,10.1109/tpwrs.2023.3311638,Journal article,Primary evaluation,Distribution power system,Active distribution network,Yes,state estimation/prediction,graph neural network,power-flow equations; DAE/ODE dynamics; network topology/graph; voltage/frequency limits,state estimation/prediction,Simulation/experiment evidence,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
