claim_id,citation_key,operating_regime,fault_switching_or_safety_event,safety_or_protection_model_reported,protection_zone_or_boundary_reported,relay_breaker_or_interlock_logic_reported,reclosing_resynchronization_or_restart_logic_reported,assumptions_summary,effect_on_operational_claim
C001,10025395,voltage regulation,No,Yes,NR,NR,NR,safe/stable secondary control assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C002,10040615,energy management under network constraints,No,Yes,NR,NR,NR,distribution-network constraints,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C003,10128154,inverter trajectory tracking,No,Yes,NR,NR,NR,inverter operating constraints,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C004,10208158,large-disturbance transient stability,Yes,Yes,NR,NR,NR,large-signal stability assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C005,10233047,disturbances and renewable uncertainty,No,Yes,NR,NR,NR,robust CLBF assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C007,10253396,disturbed microgrid operation,No,Yes,NR,NR,NR,CLBF safety and stability assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C008,10304833,large disturbance transient stability,Yes,Yes,NR,NR,NR,VSC and low-X/R microgrid assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C010,10506510,variable-inertia microgrid voltage control,No,Yes,NR,NR,NR,grid-forming converter model assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C014,10584332,topology switching under operational variation,No,Yes,NR,NR,NR,switched-system stability assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C015,10665992,islanded frequency transient,Yes,Yes,NR,NR,Yes,reachability analysis for operational variation,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C019,10852190,renewable-uncertainty stability control,No,Yes,NR,NR,NR,Lyapunov-barrier and chance-constraint assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C022,10906317,real-time dynamic security,No,Yes,NR,NR,NR,dynamic security constraints,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C023,11003897,topology reconfiguration after disturbance,Yes,Yes,NR,NR,NR,transient-stability chance constraint,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C024,11003897,topology reconfiguration after disturbance,Yes,Yes,NR,NR,NR,transient-stability chance constraint,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C026,11088107,fault detection,Yes,Yes,Yes,NR,NR,fault simulation assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C029,9371751,islanding and demand-response disruption,Yes,Yes,NR,NR,Yes,islanding and reserve-response assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C030,9371751,islanding and demand-response disruption,Yes,Yes,NR,NR,Yes,islanding and reserve-response assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C031,9916278,transient voltage instability after faults,Yes,Yes,NR,NR,NR,transient power-system DAE assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C032,9939922,event/fault classification,Yes,Yes,Yes,NR,NR,PMU event simulation assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C033,Wu2026Multiagent,extreme-weather resilience,Yes,Yes,NR,NR,NR,extreme-weather scenario assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C036,bu2024hybrid,demand-response operation,No,Yes,NR,NR,NR,storage operation assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C037,cestero2025optimizing,energy-management RL training,No,Yes,NR,NR,NR,simulator/surrogate assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C038,chen2025curriculum,look-ahead transient stability under extreme events,Yes,Yes,NR,NR,NR,extreme-event transient stability assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C041,feng2023stability,voltage control with stability constraint,No,Yes,NR,NR,NR,voltage stability constraints,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C042,ge2024physics,economic dispatch,No,Yes,NR,NR,NR,economic dispatch constraints,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C043,gram2025safe,maintenance under grid constraints,No,Yes,NR,NR,NR,distribution-grid operating constraints,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C044,huang2020neural_lyapunov_interconnected,grid-connected and three-microgrid interconnection transient stability,Yes,Yes,NR,NR,NR,PCC interface and DAE assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C045,huang2024data,voltage regulation with communication constraints,No,Yes,NR,NR,NR,communication delay and packet-loss assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C046,huang2024data,voltage regulation with communication constraints,No,Yes,NR,NR,NR,communication delay and packet-loss assumptions,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
C047,huang2024prediction,prediction-free dispatch,No,Yes,NR,NR,NR,voltage-satisfaction constraints,Limits claim to modeled safety/protection assumptions; unmodeled protection coordination remains NR.
