coverage_id,review_need,required_evidence,supporting_file,relevant_columns,coverage_status,missing_information,notes
ISS001,Which sources were reviewed and how classified?,Complete source map and eligibility decision.,source_inventory.csv; eligibility_decisions.csv,citation_key; final_status; inclusion_rationale; exclusion_reason,Yes,NR,Deduplicated local files by citation key.
ISS002,Primary versus contextual evidence separation.,Study-level eligibility and contextual-only flags.,eligibility_decisions.csv; denominators.csv,final_status; contextual_only; count,Yes,NR,Main counts use Included only.
ISS003,Claim-level operational evidence.,One row per method-task-validation claim.,evidence_claims.csv,claim_type; operational_context; task_family; validation_fidelity_tier,Yes,NR,Split examples document multi-claim sources.
ISS004,Validation strength and auditability.,Fidelity and auditability tiers with rule file.,evidence_claims.csv; coding_rules.csv,validation_fidelity_tier; auditability_tier; rule_id,Yes,NR,Controlled vocabularies validated.
ISS005,Plausibility versus admissibility.,Evidence-class coding and required operational fields.,evidence_claims.csv; denominators.csv,evidence_class; operational_limits_reported; violation_*; latency_reported,Partially,Many sources do not report violation duration or latency.,Most primary evidence remains plausibility evidence.
ISS006,Safety/protection assumptions.,Operational claims mapped to safety/protection assumptions.,safety_assumptions.csv,safety_or_protection_model_reported; assumptions_summary,Partially,Relay/breaker/interlock logic often NR.,Used to limit operational claims.
ISS007,Uncertainty calibration.,Probabilistic/uncertainty-aware claim table.,uncertainty_evidence.csv,uncertainty_method; calibration_metric_reported; risk_bound_reported,Partially,Calibration/coverage metrics often NR.,Risk methods are coded separately from calibration quality.
ISS008,Scalability evidence.,Large-system and topology-variation claims.,scalability_evidence.csv,system_size; number_of_nodes_or_buses; scalability_evidence_strength,Partially,Exact device/resource counts often NR.,Large feeders and multi-microgrid cases are traceable.
ISS009,Benchmark recommendations.,Evidence-derived benchmark specifications.,benchmark_requirements.csv,target_operating_regime; required_metrics; minimum_validation_fidelity,Yes,NR,Benchmarks are derived from recurring evidence gaps.
ISS010,Denominator consistency.,Separate source-level and claim-level counts.,denominators.csv,level; filter_used; count,Yes,NR,Validation checks joins and status filters.
