denominator_name,level,filter_used,count,notes
total sources read,study,all unique local PDF-backed sources plus unique ODT notes,116,Deduplicated by citation_key.
included studies,study,final_status = Included,60,Primary denominator for source-level synthesis.
contextual studies,study,final_status = Contextual,42,Not counted as primary evidence.
excluded studies,study,final_status = Excluded,14,Not counted in synthesis.
included claim units,claim,claims joined to final_status = Included,66,Primary denominator for claim-level synthesis.
included operational claims,claim,Included claims where claim_type = operational,35,Claim-level denominator.
included enabling claims,claim,Included claims where claim_type = enabling,21,Claim-level denominator.
included transition-focused claims,claim,Included claims where claim_type = transition-focused,10,Claim-level denominator.
included contextual claims,claim,Included claims where claim_type = contextual,0,Claim-level denominator.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = AC-OPF warm-start optimization,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = DER parameter estimation under scarce data,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = EMT device transient,2,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = IBR dynamic modeling,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = PV dynamic response,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = PV-HESS-PEM microgrid converter operation,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = active-distribution voltage regulation,2,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = converter steady-state and transient simulation,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = demand-response operation,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = disturbances and renewable uncertainty,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = disturbed microgrid operation,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = dynamic trajectory prediction,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = economic control,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = economic dispatch,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = energy management under network constraints,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = energy-management RL training,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = event/fault classification,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = extreme-weather resilience,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = fast stability enhancement,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = fault detection,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = fault diagnosis and health monitoring,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = frequency dynamics across excitations,2,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = grid-connected and three-microgrid interconnection transient stability,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = grid-connected operation,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = grid-connected to island mode,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = inverter trajectory tracking,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = islanded frequency transient,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = islanding and demand-response disruption,2,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = large disturbance transient stability,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = large-disturbance transient stability,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = look-ahead transient stability under extreme events,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = maintenance under grid constraints,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = noisy physical-system identification,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = overload stability,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = physical and cyber anomaly detection,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = post-disturbance transient stability,1,Do not mix source and claim denominators.
claims by operating regime,claim,Included claims grouped by transition_or_operating_regime = prediction-free dispatch,1,Do not mix source and claim denominators.
