claim_id,study_id,citation_key,claim_type,operational_context,transition_or_operating_regime,system_type,networked_or_multi_system_flag,learned_or_data_driven_artifact,task_family,consuming_decision_layer,required_latency_class,method_family,physics_or_domain_integration_mechanism,physical_or_domain_object_enforced,injection_stage,enforcement_strength,constraint_semantics,validation_environment,validation_fidelity_tier,auditability_tier,operational_limits_reported,voltage_limit_reported,frequency_limit_reported,current_limit_reported,synchronization_or_coupling_limit_reported,violation_reporting,violation_magnitude_reported,violation_duration_reported,stability_or_feasibility_metric,robustness_axes,topology_variation_tested,disturbance_shift_tested,measurement_degradation_tested,communication_impairment_tested,resource_outage_or_derating_tested,latency_reported,computation_time,computational_complexity_note,baseline_reported,ablation_reported,protection_or_safety_assumptions,device_limit_model,uncertainty_calibration,scalability_notes,quantitative_result_summary,evidence_class,inclusion_rationale
C001,S001,10025395,operational,secondary voltage control,voltage regulation,microgrid,Yes,explicit neural network controller,voltage control,secondary control,real-time control,explicit neural network control,control constraints and stability conditions embedded in explicit neural network design,bus voltage safety and closed-loop stability,architecture/structure,hard runtime enforcement,safe voltage set and stability certificate,simulation,F1,A2,Yes,Yes,No,NR,NR,Yes,NR,NR,voltage restoration and stability,load and operating-condition variation,NR,Yes,NR,NR,NR,NR,NR,Explicit NN proposed for online evaluation; exact runtime NR,Yes,NR,safe/stable secondary control assumptions,inverter-interfaced microgrid model,NR,microgrid case studies; exact scaling NR,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C002,S002,10040615,operational,microgrid energy management,energy management under network constraints,distribution network with microgrids,Yes,safe deep reinforcement-learning policy,energy management,energy management system,dispatch interval,safe reinforcement learning,constrained Markov decision process with spatial-temporal perception,distribution-network operating constraints,uncertainty/risk,soft penalty,constrained policy optimization,simulation,F0,A2,Yes,Yes,NR,NR,NR,Yes,NR,NR,reward and constraint satisfaction,spatial-temporal state variations,NR,NR,NR,NR,NR,NR,NR,ODT abstract reports efficient learning but no runtime,Yes,NR,distribution-network constraints,microgrid resources in distribution network,NR,NR,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C003,S006,10128154,operational,inverter PQ trajectory tracking,inverter trajectory tracking,microgrid inverter,Yes,physics-informed reinforcement-learning inverter controller,inverter control,primary converter control,real-time control,physics-informed reinforcement learning,physical dynamics included in reinforcement-learning formulation,active/reactive power trajectory and inverter dynamics,hybrid,soft penalty,physics-informed trajectory tracking objective,simulation,F1,A2,Yes,Yes,NR,NR,NR,NR,NR,NR,PQ tracking error,operating-condition variation,NR,Yes,NR,NR,NR,NR,NR,NR,Yes,NR,inverter operating constraints,inverter PQ control model,NR,single microgrid inverter-level study,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C004,S008,10208158,transition-focused,transient stability assessment,large-disturbance transient stability,networked microgrids,Yes,neural Lyapunov function,transient stability assessment,security monitoring,online screening,neural Lyapunov,Lyapunov conditions with learning and falsification modules,region of attraction and large-signal stability,certificate,certificate-based,Lyapunov stability certificate,simulation,F1,A2,Yes,Yes,NR,NR,Yes,Yes,NR,NR,estimated region of attraction,disturbance size and microgrid interconnection cases,Yes,Yes,NR,NR,NR,NR,NR,NR,Yes,NR,large-signal stability assumptions,power-electronics-interfaced microgrid model,NR,networked microgrid cases,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C005,S009,10233047,transition-focused,uncertain networked-microgrid neural control,disturbances and renewable uncertainty,uncertain networked microgrids,Yes,physics-informed neural hierarchical controller and robust CLBF,safe stability-certified control,hierarchical control,real-time control,certificate-based neural control,robust control Lyapunov-barrier function learned with physics-informed scheme,safety and stability under uncertainty,certificate,certificate-based,robust CLBF safety and stability certificate,simulation,F1,A2,Yes,Yes,Yes,NR,Yes,Yes,NR,NR,safe and stable trajectory certification,renewable uncertainty and disturbances,Yes,Yes,NR,NR,NR,NR,NR,ODT abstract reports certified generalization; exact runtime NR,NR,NR,robust CLBF assumptions,inverter-based resources,uncertain perturbations considered,different networked microgrid cases; exact size NR,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C006,S010,10238825,enabling,active distribution voltage prediction,voltage prediction with topology changes,active distribution system,Yes,probabilistic physics-informed graph convolutional network,voltage prediction,monitoring and operational screening,online screening,probabilistic graph neural network,network topology embedded in graph model with Bayesian dropout,node voltages,uncertainty/risk,audited only,probabilistic voltage prediction with topology robustness,simulation on realistic distribution system,F0,A3,Yes,Yes,No,NR,NR,NR,NR,NR,voltage prediction accuracy and uncertainty,topology changes and scenario variation,Yes,NR,NR,NR,NR,NR,NR,Compared against machine-learning baselines; exact inference time NR,Yes,NR,distribution voltage operating assumptions,PV and EV resources,Bayesian dropout uncertainty,realistic 759-node distribution system reported in ODT note,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C007,S012,10253396,transition-focused,microgrid safety and stability certified control,disturbed microgrid operation,microgrid,Yes,neural Lyapunov-barrier controller,safe stability-certified control,hierarchical control,real-time control,certificate-based neural control,control Lyapunov-barrier function learned with physics-informed constraints,voltage/frequency safety and stability,certificate,certificate-based,CLBF certificate,simulation,F1,A2,Yes,Yes,Yes,NR,NR,Yes,NR,NR,certified safe and stable control,disturbance scenarios,NR,Yes,NR,NR,NR,NR,NR,ODT abstract does not report runtime,NR,NR,CLBF safety and stability assumptions,DER/load/network dynamics,NR,NR,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C008,S014,10304833,transition-focused,microgrid transient stability assessment,large disturbance transient stability,VSC-interfaced microgrid,Yes,physics-informed neural network TSA model,transient stability assessment,security assessment,online screening,PINN,microgrid transient equations used in physics-informed loss,stability boundary and disturbance tolerance,training loss,soft penalty,physics residual regularization for TSA,simulation,F1,A1,Yes,Yes,NR,NR,Yes,NR,NR,NR,stability classification and disturbance margin,disturbance magnitude and nonlinear microgrid dynamics,NR,Yes,NR,NR,NR,NR,NR,NR,NR,NR,VSC and low-X/R microgrid assumptions,converter-interfaced microgrid model,NR,NR,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C009,S019,10489968,enabling,networked microgrid transient dynamics prediction,transient dynamics,networked microgrids,Yes,graph neural network transient predictor,dynamics prediction,monitoring and planning support,online screening,graph neural network,network graph structure and full-field measurements,voltage/frequency transient trajectories,architecture/structure,audited only,physics-aware graph prediction,DAE simulation benchmark,F1,A3,No,Yes,Yes,NR,Yes,NR,NR,NR,one-step and cumulative RMSE; modal frequency and damping,model settings C1/C6/C11 and message-passing depth,NR,Yes,NR,NR,NR,NR,NR,Hyperparameter sensitivity reported; exact deployment runtime NR,Yes,Yes,DAE ground-truth model assumptions,networked microgrid dynamic model,NR,networked microgrid full-field measurement cases,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C010,S020,10506510,operational,grid-forming converter voltage-loop control,variable-inertia microgrid voltage control,grid-forming converter microgrid,Yes,adaptive data-driven voltage-loop controller,converter voltage control,primary converter control,real-time control,adaptive data-driven control,data-driven adaptation around converter control dynamics,converter output voltage,runtime enforcement,audited only,adaptive voltage control objective,simulation,F1,A1,Yes,Yes,NR,NR,NR,NR,NR,NR,voltage-control performance,variable inertia,NR,NR,NR,NR,NR,NR,NR,NR,Yes,NR,grid-forming converter model assumptions,grid-forming converter voltage loop,NR,NR,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C011,S021,10507020,enabling,distribution-system gray-box modeling,IBR dynamic modeling,distribution system with inverter-based resources,Yes,gray-box model with white-box equations and neural residual,dynamic model identification,modeling for control and assessment,offline planning,gray-box neural modeling,Kron-reduced network and inverter control diagrams feed a neural black-box correction,IBR dynamic response,gray-box residual,audited only,partial physical model plus learned residual,case-study simulation,F1,A2,No,Yes,NR,NR,NR,NR,NR,NR,estimation accuracy,case-study validation,NR,NR,NR,NR,NR,NR,NR,ODT abstract does not report runtime,Yes,NR,IBR structure and equivalent network assumptions,inverter-based resources,NR,distribution system with IBRs,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C012,S023,10527356,enabling,microgrid transient surrogate modeling,transient prediction,microgrids,Yes,modularized bilinear Koopman operator,transient prediction,model predictive control support,online screening,Koopman learning,modular bilinear Koopman form preserving microgrid subsystem structure,transient state trajectories,architecture/structure,audited only,structure-aware surrogate model,simulation,F1,A3,No,Yes,Yes,NR,NR,NR,NR,NR,prediction error around 1e-4 p.u. in ODT note,disturbance amplitude shift and truncation order,NR,Yes,NR,NR,NR,Yes,3.35 s for 100 simulations after truncation versus 6.13 s before truncation,Order truncation reduces simulation time in reported timing table,Yes,Yes,microgrid dynamic-model assumptions,DER microgrid modules,NR,modularized microgrid simulations,3.35 s for 100 simulations after truncation versus 6.13 s before truncation,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C013,S024,10540030,enabling,power-system optimization warm start,AC-OPF warm-start optimization,power system,No,PINN warm-start initializer,optimization acceleration,optimal power flow solver,dispatch interval,PINN,power-flow equations in physics-informed optimization loss,AC-OPF feasibility,training loss,audited only,physics-informed warm-start feasibility,offline optimization benchmarks,F0,A3,Yes,Yes,No,Yes,NR,Yes,NR,NR,success rate and solution time,benchmark instances,NR,NR,NR,NR,NR,Yes,reported to reduce computational time by almost half,Warm-starting reduces solver time; exact per-case runtime NR,Yes,Yes,AC-OPF constraint assumptions,network power-flow limits,NR,power-system OPF benchmarks,reported to reduce computational time by almost half,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C014,S025,10584332,transition-focused,topology-based islanded microgrid stabilization,topology switching under operational variation,islanded microgrid with tie switches,Yes,neural line-switching controller,topology control,emergency/topology control,real-time control,neural switching control,multiple Lyapunov-like functions for switched systems,line-switch status and stabilizability margin,certificate,hybrid,state-dependent switching law with stability margin,simulation,F1,A2,Yes,Yes,Yes,NR,Yes,Yes,NR,NR,stabilizability margin,operational variations and arbitrary number of controllable lines,Yes,Yes,NR,NR,NR,NR,NR,ODT abstract states real-time computable law; exact runtime NR,NR,NR,switched-system stability assumptions,tie switches and DER microgrid model,NR,arbitrary controllable-line count claimed; exact tested size NR,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C015,S028,10665992,operational,islanded microgrid transient dynamics stabilization,islanded frequency transient,islanded microgrid,Yes,adaptive hierarchical data-driven predictive droop controller,frequency stabilization,droop/secondary control,real-time control,data-driven predictive control,physics-informed sparse identification model embedded in MPC,frequency deviation and droop inputs,hybrid,hard runtime enforcement,MPC constraints with reachability analysis,simulation,F1,A3,Yes,NR,Yes,NR,Yes,Yes,NR,NR,frequency deviation and reachability,"load demand, weather, DER variation",NR,Yes,NR,NR,Yes,NR,NR,Predictive droop control uses learned model; runtime NR,Yes,NR,reachability analysis for operational variation,interconnected DERs and droop-controlled inverters,NR,islanded microgrid with interconnected DERs,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C016,S030,10753627,enabling,power-network DAE model reduction,transient reduced-order simulation,power network,No,structure-preserving reduced-order DAE model,model reduction,planning and dynamic assessment,offline planning,structure-preserving model reduction,DAE structure preserved in reduced-order model,network dynamic states,architecture/structure,audited only,structure-preserving simulation fidelity,time-domain simulation,F1,A3,No,Yes,Yes,NR,Yes,NR,NR,NR,RMSE between full-order and reduced states,multiple network cases and ROM orders,Yes,Yes,NR,NR,NR,Yes,RMSE examples 0.038 and 0.0019 in ODT note; runtime benefits reported,ROM size selected by Hankel singular value cumulative energy,Yes,Yes,DAE network model assumptions,power-network dynamic components,NR,large test case with ROM order r=40 for 99.99% cumulative energy,RMSE examples 0.038 and 0.0019 in ODT note; runtime benefits reported,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C017,S031,10833613,enabling,microgrid voltage stability analysis,voltage stability,microgrid,Yes,uniform physics-informed neural network framework,voltage stability analysis,stability assessment,online screening,PINN,microgrid governing equations in physics-informed loss,voltage stability constraints,training loss,soft penalty,physics residual regularization,simulation,F1,A2,Yes,Yes,NR,NR,NR,NR,NR,NR,voltage stability prediction/analysis,microgrid voltage-stability cases,NR,NR,NR,NR,NR,NR,NR,NR,Yes,NR,microgrid voltage-stability assumptions,microgrid network and DER model,NR,NR,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C018,S032,10843279,enabling,power-system dynamics modeling,dynamic trajectory prediction,power system,No,physics-informed Kolmogorov-Arnold network,dynamics prediction,dynamic assessment,online screening,physics-informed KAN,power-system dynamic equations in training objective,dynamic states,training loss,soft penalty,physics residual regularization,simulation,F1,A1,No,Yes,Yes,NR,Yes,NR,NR,NR,trajectory prediction error,NR,NR,Yes,NR,NR,NR,NR,NR,NR,Yes,NR,power-system dynamic model assumptions,power-system components,NR,NR,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
C019,S033,10852190,operational,high-renewable islanded microgrid stability enhancement,renewable-uncertainty stability control,high-renewable islanded microgrid,Yes,distributionally robust neural controller,stability control,secondary control,real-time control,distributionally robust neural control,Lyapunov and barrier functions with distributionally robust chance constraints,probabilistic stability and safety,uncertainty/risk,hybrid,distributionally robust chance-constrained stability,simulation,F1,A2,Yes,Yes,Yes,NR,Yes,Yes,NR,NR,stability and safety under renewable uncertainty,renewable uncertainty,NR,Yes,NR,NR,Yes,NR,NR,ODT abstract does not report runtime,Yes,NR,Lyapunov-barrier and chance-constraint assumptions,high-renewable islanded microgrid,distributionally robust chance constraints,NR,NR,Plausibility evidence,"Included primary claim: method-task-operating-context evidence extracted from local source text, metadata, or ODT note."
