review_id,citation_key,title,year,review_scope,covers_target_domain,covers_physics_or_domain_informed_learning,covers_safe_or_constrained_learning,covers_dynamic_or_operational_behavior,covers_transition_or_operating_regime_feasibility,uses_claim_level_coding,uses_validation_fidelity_tiers,gap_left_by_review,how_current_corpus_synthesis_differs
RV001,10050868,A Review of Microgrid Energy Management and Control Strategies,2023,energy management,Yes,No,No,Yes,No,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
RV002,10141545,Machine Learning With Data Assimilation and Uncertainty Quantification for Dynamical Systems: A Review,2023,physics-informed/data-driven power-system method,No,Yes,No,No,No,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
RV003,10246175,"Review of Networked Microgrid Protection: Architectures, Challenges, Solutions, and Future Trends",2024,physics-informed/data-driven power-system method,Yes,No,Yes,No,Yes,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
RV004,10271308,Large-Signal Stability Analysis of Inverter-Based AC Microgrids: A Critical and Analytical Review,2023,physics-informed/data-driven power-system method,Yes,No,Yes,Yes,Yes,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
RV005,10336908,Artificial Intelligence Techniques for Enhancing the Performance of Controllers in Power Converter-Based Systems-An Overview,2023,physics-informed/data-driven power-system method,Yes,Yes,No,Yes,No,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
RV006,10375385,"Physics-Informed Machine Learning for Data Anomaly Detection, Classification, Localization, and Mitigation: A Review, Challenges, and Path Forward",2024,fault/anomaly detection,Yes,Yes,No,No,No,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
RV007,10416843,Machine Learning Methods for Fault Diagnosis in AC Microgrids: A Systematic Review,2024,fault/anomaly detection,Yes,Yes,No,Yes,No,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
RV008,10443944,A Critical Review on DC Microgrids Voltage Control and Power Management,2024,voltage control,Yes,No,No,Yes,No,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
RV009,10517491,Interoperability in Microgrids to Improve Energy Access: A Systematic Review,2024,physics-informed/data-driven power-system method,Yes,No,No,No,No,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
RV010,10630816,Review of Computational Intelligence Approaches for Microgrid Energy Management,2024,energy management,Yes,No,No,Yes,No,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
RV011,10735212,"Artificial Intelligence in the Hierarchical Control of AC, DC, and Hybrid AC/DC Microgrids: A Review",2024,physics-informed/data-driven power-system method,Yes,Yes,No,Yes,No,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
RV012,10933995,Distributed Control Strategies for Microgrids: A Critical Review of Technologies and Challenges,2025,physics-informed/data-driven power-system method,Yes,No,No,Yes,No,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
RV013,10942604,Series-Cascaded AC Microgrids: An Inclusive Review of Architectures and Control Methodologies,2025,physics-informed/data-driven power-system method,Yes,No,No,Yes,No,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
RV014,11176071,Energy Management Systems for Maritime Microgrids: A Comprehensive Review of Intelligent Optimization Strategies,2025,energy management,Yes,No,No,Yes,No,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
RV015,9681082,A Comprehensive Review of Control Strategies and Optimization Methods for Individual and Community Microgrids,2022,physics-informed/data-driven power-system method,Yes,No,No,Yes,No,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
RV016,9743327,Applications of Physics-Informed Neural Networks in Power Systems - A Review,2023,physics-informed/data-driven power-system method,Yes,Yes,No,No,No,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
RV017,9908557,Microgrids and Resilience: A Review,2022,restoration and resilience,Yes,No,No,Yes,Yes,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
RV018,adham2025distributed,Distributed Energy Resources: A Systematic Literature Review,2025,physics-informed/data-driven power-system method,Yes,No,No,No,No,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
RV019,canaan2025cyber,Cyber-physical security for microgrids through digital twin technologies: A review and research outlook,2025,physics-informed/data-driven power-system method,Yes,No,No,No,No,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
RV020,dahane2024hybrid,Hybrid AC-DC microgrid coordinated control strategies: A systematic review and future prospect,2024,physics-informed/data-driven power-system method,Yes,No,No,Yes,No,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
RV021,habibnia2026data,Data-driven solutions for microgrids energy management systems: A state-of-the-art survey on current trends and future directions,2026,energy management,Yes,No,No,Yes,No,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
RV022,hadi2025artificial,"Artificial intelligence for microgrids design, control, and maintenance: A comprehensive review and prospects",2025,physics-informed/data-driven power-system method,Yes,Yes,No,Yes,No,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
RV023,juma2024review,A review of control strategies for optimized microgrid operations,2024,physics-informed/data-driven power-system method,Yes,No,No,Yes,No,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
RV024,meng2025when_physics,When physics meets machine learning: a survey of physics-informed machine learning,2025,physics-informed/data-driven power-system method,No,Yes,No,No,No,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
RV025,mishra2024survey,A survey on different techniques for distribution network reconfiguration,2024,restoration and resilience,Yes,No,No,No,Yes,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
RV026,mohanty2024power,Power system resilience and strategies for a sustainable infrastructure: A review,2024,restoration and resilience,Yes,No,No,Yes,Yes,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
RV027,nkambule2025review,A review of intelligent control strategies for energy management systems in microgrids,2025,energy management,Yes,No,No,Yes,No,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
RV028,oelhaf2025scoping,A scoping review of machine learning applications in power system protection and disturbance management,2025,physics-informed/data-driven power-system method,Yes,Yes,Yes,No,Yes,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
RV029,parsa2025physics,"Physics-informed machine learning meets renewable energy systems: A review of advances, challenges, guidelines, and future outlooks",2025,physics-informed/data-driven power-system method,No,Yes,No,No,No,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
RV030,sarangi2025enhancing,Enhancing DC microgrid security: A comprehensive review of protection challenges and solutions,2025,physics-informed/data-driven power-system method,Yes,No,Yes,No,Yes,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
RV031,wazirali2023state,"State-of-the-art review on energy and load forecasting in microgrids using artificial neural networks, machine learning, and deep learning techniques",2023,state estimation/prediction,Yes,Yes,No,No,No,NR,NR,Does not provide the claim-level operational-admissibility coding used in this evidence package.,"Separates study eligibility from method-task claim units and codes validation fidelity, auditability, constraints, and operational evidence class."
