claim_id,citation_key,method_family,learned_or_data_driven_artifact,consuming_decision_layer,reported_latency,reported_computation_time,complexity_statement,deployment_feasibility,latency_matches_decision_layer,notes
C001,10025395,explicit neural network control,explicit neural network controller,secondary control,NR,NR,Explicit NN proposed for online evaluation; exact runtime NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C002,10040615,safe reinforcement learning,safe deep reinforcement-learning policy,energy management system,NR,NR,ODT abstract reports efficient learning but no runtime,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C003,10128154,physics-informed reinforcement learning,physics-informed reinforcement-learning inverter controller,primary converter control,NR,NR,NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C004,10208158,neural Lyapunov,neural Lyapunov function,security monitoring,NR,NR,NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C005,10233047,certificate-based neural control,physics-informed neural hierarchical controller and robust CLBF,hierarchical control,NR,NR,ODT abstract reports certified generalization; exact runtime NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C006,10238825,probabilistic graph neural network,probabilistic physics-informed graph convolutional network,monitoring and operational screening,NR,NR,Compared against machine-learning baselines; exact inference time NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C007,10253396,certificate-based neural control,neural Lyapunov-barrier controller,hierarchical control,NR,NR,ODT abstract does not report runtime,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C008,10304833,PINN,physics-informed neural network TSA model,security assessment,NR,NR,NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C009,10489968,graph neural network,graph neural network transient predictor,monitoring and planning support,NR,NR,Hyperparameter sensitivity reported; exact deployment runtime NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C010,10506510,adaptive data-driven control,adaptive data-driven voltage-loop controller,primary converter control,NR,NR,NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C011,10507020,gray-box neural modeling,gray-box model with white-box equations and neural residual,modeling for control and assessment,NR,NR,ODT abstract does not report runtime,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C012,10527356,Koopman learning,modularized bilinear Koopman operator,model predictive control support,Yes,3.35 s for 100 simulations after truncation versus 6.13 s before truncation,Order truncation reduces simulation time in reported timing table,Potentially deployable at stated decision layer,Yes,Latency coded only when explicitly reported in available source/note.
C013,10540030,PINN,PINN warm-start initializer,optimal power flow solver,Yes,reported to reduce computational time by almost half,Warm-starting reduces solver time; exact per-case runtime NR,Potentially deployable at stated decision layer,Yes,Latency coded only when explicitly reported in available source/note.
C014,10584332,neural switching control,neural line-switching controller,emergency/topology control,NR,NR,ODT abstract states real-time computable law; exact runtime NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C015,10665992,data-driven predictive control,adaptive hierarchical data-driven predictive droop controller,droop/secondary control,NR,NR,Predictive droop control uses learned model; runtime NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C016,10753627,structure-preserving model reduction,structure-preserving reduced-order DAE model,planning and dynamic assessment,Yes,RMSE examples 0.038 and 0.0019 in ODT note; runtime benefits reported,ROM size selected by Hankel singular value cumulative energy,Potentially deployable at stated decision layer,Yes,Latency coded only when explicitly reported in available source/note.
C017,10833613,PINN,uniform physics-informed neural network framework,stability assessment,NR,NR,NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C018,10843279,physics-informed KAN,physics-informed Kolmogorov-Arnold network,dynamic assessment,NR,NR,NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C019,10852190,distributionally robust neural control,distributionally robust neural controller,secondary control,NR,NR,ODT abstract does not report runtime,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C020,10887332,physics-informed neural DAE,neural differential-algebraic EMT module,EMT analytics,NR,NR,ODT note reports mean errors; runtime NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C021,10887332,physics-informed neural DAE,neural differential-algebraic EMT module,EMT analytics,NR,NR,ODT note reports mean errors; runtime NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C022,10906317,safe policy learning,physics-guided safe policy,real-time dispatch,NR,NR,Title states real-time; exact latency NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C023,11003897,safe reinforcement learning,safe RL policy with DSPP chance constraint,emergency control,NR,NR,ODT abstract reports parallel training speedup but exact runtime NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C024,11003897,safe reinforcement learning,safe RL policy with DSPP chance constraint,emergency control,NR,NR,ODT abstract reports parallel training speedup but exact runtime NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C025,11045087,modified PINN,modified physics-informed neural network,model identification,Yes,training time reduced by up to 82.87% versus traditional PINN in ODT note,data transformation reduces training time,Potentially deployable at stated decision layer,Yes,Latency coded only when explicitly reported in available source/note.
C026,11088107,explainable graph neural network,explainable graph neural network,protection monitoring,Yes,explanation generation time reported in ODT note; exact value NR,"10,000 voltage sampling points; 100 train and 100 test scenarios reported",Potentially deployable at stated decision layer,Yes,Latency coded only when explicitly reported in available source/note.
C027,11165312,digital twin and deep learning,digital twin with LSTM fault diagnosis,operations monitoring,Yes,fast sampling/processing discussed; exact latency NR,ODT note reports about 97% LSTM-based diagnosis accuracy,Potentially deployable at stated decision layer,Yes,Latency coded only when explicitly reported in available source/note.
C028,9282004,PINN,physics-informed neural network,analysis support,NR,NR,NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C029,9371751,safe reinforcement learning,safe reinforcement-learning scheduler,energy management system,Yes,training time 6 h versus 28 h for DQN in ODT note,CVaR confidence level 95% reported,Potentially deployable at stated decision layer,Yes,Latency coded only when explicitly reported in available source/note.
C030,9371751,safe reinforcement learning,safe reinforcement-learning scheduler,energy management system,Yes,training time 6 h versus 28 h for DQN in ODT note,CVaR confidence level 95% reported,Potentially deployable at stated decision layer,Yes,Latency coded only when explicitly reported in available source/note.
C031,9916278,physics-informed reinforcement learning,physics-informed reinforcement-learning controller,emergency control,NR,NR,Mutool-recovered abstract says rapid scheduling but exact latency NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C032,9939922,physics-informed graph neural network,physics-informed graph neural network,protection monitoring,NR,NR,NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C033,Wu2026Multiagent,multiagent reinforcement learning,multiagent reinforcement-learning coordination policy,resilience scheduling/control,NR,NR,NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C034,aryal2025active,neural ODE,active-learning neural ordinary differential equation,monitoring and model support,Yes,"training 65 h local, 40.7 h HPC, inference microsecond range",Inference reported in microsecond range; training times reported,Potentially deployable at stated decision layer,Yes,Latency coded only when explicitly reported in available source/note.
C035,aryal2025active,neural ODE,active-learning neural ordinary differential equation,monitoring and model support,Yes,"training 65 h local, 40.7 h HPC, inference microsecond range",Inference reported in microsecond range; training times reported,Potentially deployable at stated decision layer,Yes,Latency coded only when explicitly reported in available source/note.
C036,bu2024hybrid,hybrid data-driven optimization,hybrid data-driven operation model,energy management system,NR,NR,NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C037,cestero2025optimizing,RL with PINN surrogate,RL policy trained with PINN surrogate,energy management system,Yes,surrogate about 10x faster; MAE about 1.05e-3 and R2 about 0.91,100 parallel environments and rollout buffer 30 identified in sensitivity sweep,Potentially deployable at stated decision layer,Yes,Latency coded only when explicitly reported in available source/note.
C038,chen2025curriculum,deep evolutionary learning,curriculum-based deep evolutionary learning policy,real-time dispatch,Yes,0.39 s per step versus 13.2 min MPC; unsafe cases 0/500,Ray-based parallelization shows near-linear speedup in ODT note,Potentially deployable at stated decision layer,Yes,Latency coded only when explicitly reported in available source/note.
C039,chen2025modified,hard-constrained PINN,modified hard-constrained PINN,dynamic assessment,NR,NR,NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C040,coulombe2025simulation,PINN recurrent model,BiLSTM-PINN converter model,device modeling,NR,RMSE reductions 54% steady-state and 67% transient versus BiLSTM,Peak RMSE distribution reduced 64% and 80% in ODT note,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C041,feng2023stability,stability-constrained reinforcement learning,stability-constrained RL policy,real-time voltage control,NR,NR,Title states real-time; exact latency NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C042,ge2024physics,physics-informed convolutional neural network,physics-informed convolutional neural network,dispatch optimization,NR,NR,NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C043,gram2025safe,safe reinforcement learning,Bi-Mamba+ constrained policy optimization policy,asset/grid operation planning,NR,NR,NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C044,huang2020neural_lyapunov_interconnected,neural Lyapunov,neural Lyapunov security-region estimator,real-time security monitoring,NR,NR,Source states real-time monitoring use; exact runtime NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C045,huang2024data,data-driven predictive control,data-driven distributed predictive controller,secondary control,Yes,NR,Hardware platform validation reported in ODT abstract; exact runtime NR,Potentially deployable at stated decision layer,No,Latency coded only when explicitly reported in available source/note.
C046,huang2024data,data-driven predictive control,data-driven distributed predictive controller,secondary control,Yes,NR,Hardware platform validation reported in ODT abstract; exact runtime NR,Potentially deployable at stated decision layer,No,Latency coded only when explicitly reported in available source/note.
C047,huang2024prediction,data-driven online optimization,data-driven online optimization controller,energy management system,Yes,1.9 versus 37.6 min/day; voltage satisfaction 87.33% to 100%,Two-month operational comparison reported,Potentially deployable at stated decision layer,Yes,Latency coded only when explicitly reported in available source/note.
C048,komala2025iot,PINN hybrid optimization,CMPA-PINN islanding detector,hierarchical control/ICT layer,NR,NR,ODT abstract mentions IoT traffic-flow optimization; exact latency NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C049,kumar2025physics,PINN control,PINN-based controller,primary converter control,NR,NR,NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C050,long2020data,data-driven hybrid dynamic modeling,ensemble GRU hybrid equivalent model,dynamic assessment,NR,NR,NR,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
C051,moradi2023physics,Hamiltonian neural network,Hamiltonian neural network with output-error noise model,model identification,NR,NR,IFAC source; power/microgrid application not reported,Plausible offline/analysis deployment,NR,Latency coded only when explicitly reported in available source/note.
