study_id,citation_key,final_status,inclusion_rationale,exclusion_reason,target_system_relevant,learning_or_data_driven_method_central,domain_physics_explicitly_used,operational_or_dynamic_relevance,quantitative_evaluation_reported,enabling_for_operational_assessment,contextual_only,borderline_case,classification_note
S001,10025395,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S002,10040615,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S003,10050868,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,No,No,Yes,No,Yes,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S004,10121806,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,No,Yes,Yes,NR,Yes,Yes,Yes,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S005,10124785,Excluded,Not included as primary evidence.,Learning or data-driven method is not central to the available source evidence.,Yes,No,Yes,Yes,NR,No,No,No,Excluded: Learning or data-driven method is not central to the available source evidence.
S006,10128154,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S007,10141545,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,No,Yes,Yes,No,No,No,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S008,10208158,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S009,10233047,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S010,10238825,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S011,10246175,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,No,Yes,No,No,No,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S012,10253396,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S013,10271308,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,No,Yes,No,No,No,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S014,10304833,Included,"Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence.",Not excluded,Yes,Yes,Yes,Yes,Yes,Yes,No,No,"Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
S015,10336908,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,No,Yes,Yes,No,Yes,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
S016,10375385,Contextual,"Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence.",Not excluded,Yes,Yes,Yes,Yes,No,Yes,Yes,No,"Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
