summary_name,category,subgroup,count,denominator,percentage,evidence_question
operating-regime distribution,AC-OPF warm-start optimization,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,DER parameter estimation under scarce data,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,EMT device transient,All included claims,2,66,3.03,Which operating regimes dominate the primary evidence?
operating-regime distribution,IBR dynamic modeling,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,PV dynamic response,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,PV-HESS-PEM microgrid converter operation,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,active-distribution voltage regulation,All included claims,2,66,3.03,Which operating regimes dominate the primary evidence?
operating-regime distribution,converter steady-state and transient simulation,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,demand-response operation,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,disturbances and renewable uncertainty,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,disturbed microgrid operation,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,dynamic trajectory prediction,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,economic control,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,economic dispatch,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,energy management under network constraints,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,energy-management RL training,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,event/fault classification,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,extreme-weather resilience,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,fast stability enhancement,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,fault detection,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,fault diagnosis and health monitoring,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,frequency dynamics across excitations,All included claims,2,66,3.03,Which operating regimes dominate the primary evidence?
operating-regime distribution,grid-connected and three-microgrid interconnection transient stability,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,grid-connected operation,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,grid-connected to island mode,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,inverter trajectory tracking,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,islanded frequency transient,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,islanding and demand-response disruption,All included claims,2,66,3.03,Which operating regimes dominate the primary evidence?
operating-regime distribution,large disturbance transient stability,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,large-disturbance transient stability,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,look-ahead transient stability under extreme events,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,maintenance under grid constraints,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,noisy physical-system identification,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,overload stability,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,physical and cyber anomaly detection,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,post-disturbance transient stability,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,prediction-free dispatch,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,real-time dynamic security,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,renewable-uncertainty stability control,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,resilient microgrid formation,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,restoration/resilience with EV mobility,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,secure energy management,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,stability-economy operation,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,state estimation across feeder sizes,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
operating-regime distribution,steady and dynamic power-system analysis,All included claims,1,66,1.52,Which operating regimes dominate the primary evidence?
