table_name,row_variable,row_value,column_variable,column_value,count,denominator,percentage
method family x operating regime,method_family,Bayesian PINN,transition_or_operating_regime,system identification under uncertainty,1,66,1.52
method family x operating regime,method_family,DRL with PINN,transition_or_operating_regime,resilient microgrid formation,1,66,1.52
method family x operating regime,method_family,Hamiltonian neural network,transition_or_operating_regime,noisy physical-system identification,1,66,1.52
method family x operating regime,method_family,Koopman learning,transition_or_operating_regime,transient prediction,1,66,1.52
method family x operating regime,method_family,LSTM control/optimization,transition_or_operating_regime,fast stability enhancement,1,66,1.52
method family x operating regime,method_family,PINN,transition_or_operating_regime,AC-OPF warm-start optimization,1,66,1.52
method family x operating regime,method_family,PINN,transition_or_operating_regime,large disturbance transient stability,1,66,1.52
method family x operating regime,method_family,PINN,transition_or_operating_regime,steady and dynamic power-system analysis,1,66,1.52
method family x operating regime,method_family,PINN,transition_or_operating_regime,voltage stability,1,66,1.52
method family x operating regime,method_family,PINN control,transition_or_operating_regime,overload stability,1,66,1.52
method family x operating regime,method_family,PINN hybrid optimization,transition_or_operating_regime,grid-connected to island mode,1,66,1.52
method family x operating regime,method_family,PINN recurrent model,transition_or_operating_regime,converter steady-state and transient simulation,1,66,1.52
method family x operating regime,method_family,RL with PINN surrogate,transition_or_operating_regime,energy-management RL training,1,66,1.52
method family x operating regime,method_family,adaptive data-driven control,transition_or_operating_regime,variable-inertia microgrid voltage control,1,66,1.52
method family x operating regime,method_family,certificate-based neural control,transition_or_operating_regime,disturbances and renewable uncertainty,1,66,1.52
method family x operating regime,method_family,certificate-based neural control,transition_or_operating_regime,disturbed microgrid operation,1,66,1.52
method family x operating regime,method_family,data-driven hybrid dynamic modeling,transition_or_operating_regime,PV dynamic response,1,66,1.52
method family x operating regime,method_family,data-driven online optimization,transition_or_operating_regime,prediction-free dispatch,1,66,1.52
method family x operating regime,method_family,data-driven predictive control,transition_or_operating_regime,islanded frequency transient,1,66,1.52
method family x operating regime,method_family,data-driven predictive control,transition_or_operating_regime,voltage regulation with communication constraints,2,66,3.03
