claim_id,citation_key,uncertainty_method,calibration_metric_reported,coverage_metric_reported,risk_bound_reported,OOD_or_disturbance_shift_tested,decision_use_of_uncertainty,calibration_quality_assessment,notes
C005,10233047,uncertain perturbations considered,NR,NR,NR,Yes,hierarchical control,"Uncertainty is used operationally, but calibration metrics are NR unless stated.",NR
C006,10238825,Bayesian dropout uncertainty,NR,NR,NR,No,monitoring and operational screening,"Uncertainty is used operationally, but calibration metrics are NR unless stated.",NR
C019,10852190,distributionally robust chance constraints,NR,NR,Yes,Yes,secondary control,"Uncertainty is used operationally, but calibration metrics are NR unless stated.",NR
C023,11003897,DSPP predicted normal distribution,NR,NR,Yes,Yes,emergency control,"Uncertainty is used operationally, but calibration metrics are NR unless stated.",ODT abstract reports efficient emergency control under hard constraints; exact violation magnitude NR
C024,11003897,DSPP predicted normal distribution,NR,NR,Yes,Yes,emergency control,"Uncertainty is used operationally, but calibration metrics are NR unless stated.",ODT abstract reports topology reconfiguration in a real islanded microgrid case; exact reconfiguration count NR
C027,11165312,measurement uncertainty discussed,NR,NR,NR,Yes,operations monitoring,"Uncertainty is used operationally, but calibration metrics are NR unless stated.",fast sampling/processing discussed; exact latency NR
C029,9371751,CVaR 95% confidence level,NR,NR,Yes,Yes,energy management system,"Uncertainty is used operationally, but calibration metrics are NR unless stated.",ODT note reports average reward 73.58 for proposed method versus 66.04 for DQN and islanding duration of 2 hours
C030,9371751,CVaR 95% confidence level,NR,NR,Yes,Yes,energy management system,"Uncertainty is used operationally, but calibration metrics are NR unless stated.",ODT note reports CVaR confidence level 95% and objective values 77.62 scenario-based versus 78.53 CVaR-based
C033,Wu2026Multiagent,weather-event uncertainty,NR,NR,NR,Yes,resilience scheduling/control,"Uncertainty is used operationally, but calibration metrics are NR unless stated.",NR
C034,aryal2025active,noise distribution tested,NR,NR,Yes,Yes,monitoring and model support,"Uncertainty is used operationally, but calibration metrics are NR unless stated.",ODT note reports GoF generally above 85% and MSE within 1e-6 p.u. except Delta omega dot around 80% GoF
C035,aryal2025active,noise distribution tested,NR,NR,Yes,Yes,monitoring and model support,"Uncertainty is used operationally, but calibration metrics are NR unless stated.",ODT note reports topology changes via transfer learning and microsecond-range inference; exact topology count NR
C037,cestero2025optimizing,OOD analysis reported,NR,NR,NR,Yes,energy management system,"Uncertainty is used operationally, but calibration metrics are NR unless stated.",surrogate about 10x faster; MAE about 1.05e-3 and R2 about 0.91
C057,stock2024bayesian,Bayesian posterior uncertainty,NR,NR,NR,Yes,model identification,"Uncertainty is used operationally, but calibration metrics are NR unless stated.",NR
C058,sun2025integrated,risk-aware formulation,NR,NR,NR,No,restoration/reconfiguration planning,"Uncertainty is used operationally, but calibration metrics are NR unless stated.",NR
C063,zhang2024physics,random seeds and uncertainty realizations,NR,NR,NR,No,real-time voltage control,"Uncertainty is used operationally, but calibration metrics are NR unless stated.","ODT note reports higher average reward, lower voltage deviation, lower curtailment, and shorter testing time versus MADDPG and DDPG"
C064,zhang2024physics,random seeds and uncertainty realizations,NR,NR,NR,No,real-time voltage control,"Uncertainty is used operationally, but calibration metrics are NR unless stated.",ODT note reports Table 3 communication-failure tests using episodic reward and survival steps
