case_id,citation_key,title,borderline_issue,possible_classification_1,possible_classification_2,final_decision,decision_rule_used,rationale
B001,9916278,Transient Voltage Control Based on Physics-Informed Reinforcement Learning,"Broken xref prevented pdftotext, but mutool recovered title/abstract and first-page evidence.",Included,Contextual,Included,"Primary evidence required target-system relevance, central learning/data-driven or physics-informed method, and extractable method-task-validation evidence.","Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
B002,9444806,Neuro-Reachability of Networked Microgrids,PDF reports metadata for Neuro-Reachability but local full text could not be rendered or extracted.,Included,Excluded,Excluded,"Primary evidence required target-system relevance, central learning/data-driven or physics-informed method, and extractable method-task-validation evidence.",Excluded: Local PDF could not be text-extracted; only metadata was available.
B003,huang2020neural_lyapunov_interconnected,A Neural Lyapunov Approach to Transient Stability Assessment in Interconnected Microgrids,"Conference PDF has no DOI/venue metadata but contains extractable abstract, model, and validation text.",Included,Contextual,Included,"Primary evidence required target-system relevance, central learning/data-driven or physics-informed method, and extractable method-task-validation evidence.","Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
B004,9282004,Physics-Informed Neural Networks for Power Systems,Power-system PINN source is not microgrid-specific but motivates the corpus method family and has extractable method evidence.,Included,Contextual,Included,"Primary evidence required target-system relevance, central learning/data-driven or physics-informed method, and extractable method-task-validation evidence.","Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
B005,moradi2023physics,Physics-informed learning using hamiltonian neural networks with output error noise models,Generic Hamiltonian neural-network source is outside microgrids but is in the structure-preserving folder and reports physics-informed method evidence.,Included,Contextual,Included,"Primary evidence required target-system relevance, central learning/data-driven or physics-informed method, and extractable method-task-validation evidence.","Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
B006,valente2025physics,Physics-consistent machine learning with output projection onto physical manifolds,Generic output-projection source is method-relevant but not target-system primary evidence.,Included,Contextual,Contextual,"Primary evidence required target-system relevance, central learning/data-driven or physics-informed method, and extractable method-task-validation evidence.","Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
B007,huang2024data,Data-driven distributed predictive control for voltage regulation and current sharing in DC microgrids with communication constraints,ODT-only source note reports hardware validation but no local full-text PDF is present.,Included,Contextual,Included,"Primary evidence required target-system relevance, central learning/data-driven or physics-informed method, and extractable method-task-validation evidence.","Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
B008,10121806,Safety-Constrained Stagewise Optimization of Droop Control Parameters for Isolated Microgrids,Safety-constrained droop optimization is operationally relevant but learning/data-driven method is not central in available note.,Included,Contextual,Contextual,"Primary evidence required target-system relevance, central learning/data-driven or physics-informed method, and extractable method-task-validation evidence.","Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
B009,10891446,Distributed Forced-Boundary-Constrained Secondary Coordination of Islanded Microgrids,Boundary-constrained coordination is operationally relevant but not learning/data-driven primary evidence.,Included,Excluded,Excluded,"Primary evidence required target-system relevance, central learning/data-driven or physics-informed method, and extractable method-task-validation evidence.",Excluded: Outside inferred primary-evidence scope or lacks extractable evidence.
B010,drgovna2022differentiable,Differentiable predictive control: Deep learning alternative to explicit model predictive control for unknown nonlinear systems,Generic differentiable predictive control is method-relevant but not power/microgrid-specific.,Included,Excluded,Excluded,"Primary evidence required target-system relevance, central learning/data-driven or physics-informed method, and extractable method-task-validation evidence.",Excluded: Outside target power-system or microgrid operational scope.
B011,11165312,Digital Twin-Driven Health Management in Microgrids,Digital-twin microgrid health source mixes review-like framing with extractable diagnostic evaluation.,Included,Contextual,Included,"Primary evidence required target-system relevance, central learning/data-driven or physics-informed method, and extractable method-task-validation evidence.","Included: Central physics-informed, data-driven, safe, or constrained method with extractable system/task evidence."
B012,meng2025when_physics,When physics meets machine learning: a survey of physics-informed machine learning,General PIML survey is useful taxonomy but outside target-system primary evidence.,Included,Contextual,Contextual,"Primary evidence required target-system relevance, central learning/data-driven or physics-informed method, and extractable method-task-validation evidence.","Contextual: Useful for background, taxonomy, motivation, or method comparison but not counted as primary evidence."
